Dates, OIL_PROD, WATER_PROD, WATER_INJ_TOP, Xflow, P_wf
611.0, 722.7666625976562, -0.0, 967.7978515625, 0.0013963066739961505, 180.0
612.0, 721.9172973632812, -0.0, 1000.0, 726.074951171875, 180.0
613.0, 721.1211547851562, -0.0, 1000.0, 726.074951171875, 180.0
614.0, 720.4603881835938, -0.0, 1000.0, 247.1639862060547, 180.0
615.0, 720.0236206054688, -0.0, 878.0020141601562, 0.0014187789056450129, 180.0
616.0, 720.028076171875, -0.0, 1000.0, 726.074951171875, 180.0
617.0, 721.2705688476562, -0.0, 1000.0, 726.074951171875, 180.0
618.0, 722.61865234375, -0.0, 1000.0, 726.074951171875, 180.0
619.0, 724.6038818359375, -0.0, 688.433349609375, 0.0011555147357285023, 180.0
620.0, 726.7797241210938, -0.0, 1000.0, 217.23204040527344, 180.0
621.0, 728.38330078125, -0.0, 429.0237121582031, 0.0006996660376898944, 180.0
622.0, 729.2783203125, -0.0, 1000.0, 167.34548950195312, 180.0
623.0, 729.1879272460938, -0.0, 379.1372375488281, 0.0006056661368347704, 180.0
624.0, 727.8994750976562, -0.0, 239.45513916015625, 0.0003423252492211759, 180.0
625.0, 725.35302734375, -0.0, 69.84107971191406, 0.00010102614760398865, 180.0
626.0, 722.1133422851562, -0.0, 99.77297973632812, 0.00014104627189226449, 180.0
627.0, 719.7604370117188, -0.0, 89.7956771850586, 0.00012623975635506213, 180.0
628.0, 719.1780395507812, -0.0, 1000.0, 726.074951171875, 180.0
629.0, 718.4904174804688, -0.0, 1000.0, 726.074951171875, 180.0
630.0, 717.7783813476562, -0.0, 359.1826477050781, 0.0005865900311619043, 180.0
631.0, 717.1204223632812, -0.0, 1000.0, 726.074951171875, 180.0
632.0, 716.67724609375, -0.0, 1000.0, 307.0278625488281, 180.0
633.0, 716.5965576171875, -0.0, 628.5696411132812, 0.0010250647319480777, 180.0
634.0, 716.5733032226562, -0.0, 169.61404418945312, 0.0002545748429838568, 180.0
635.0, 716.0575561523438, -0.0, 698.4108276367188, 0.0010088139679282904, 180.0
